,,,,,,,,,,,,Operation and Ownership History,,,,,,,,,,
Atlas ID,EPA Facility ID,Parent Company,Refinery Name(s),Company,City,Site (EIA name),State,Latitude,Longitude ,# of Employees,Source,"Year Opened 
(First Operated)",Data Sources,Original Owner (years owned),"Prior Owners 
(Years owned)",Data Sources,Non-U.S. Corp,Venture Capital,Relevent Articles (community stories),Notes,Relevant Cases,Uses HF
,100000152504,PBF Energy Co LLC,,Torrance Refining Co LLC,Torrance,Torrance,California,33.8532,-118.332,,,1907,S3,Vacuum Oil Co (1907 - 1929),"General Petroleum Corporation of Calif (1929 - 1931), Socony-Vacuum Corp (1931 - 1934), Socony-Vacuum Oil Company, Inc (1934 - 1955), Socony Mobil Oil Co (1955 - 1966), Mobil Oil Corp (1966 - 2000), ExxonMobil (2000 - July 2016), PBF Energy (July 2016 - present)",S3,,"yes, Blackstone and First Reserve",,,,TRUE
,100000080636,Valero Energy Corp,Wilmington Refinery; Ultramar Wilmington Refinery; Long Beach Refinery,Ultramar Inc,Wilmington,Wilmington Refinery,California,33.7791,-118.234,,,1969,S3,Champlin Petroleum Co (1969 - 1987),"Union Pacific Resources Co (1987 - 1988), Ultramar Refining (1988 - 1997), Ultramar Diamond Shamrock (1997 - 2002), Valero Refining Co (2002 - present)",S4,,,,receives oil by train,,TRUE
,100000146772,ExxonMobil Corp,ExxonMobil Joliet Refinery,Exxonmobil Refining & Supply Co,Channahon,Joliet,Illinois,41.4147,-88.1833,,,1972,S21,Mobil Oil (1972 - 1982),Exxon Mobil Oil Corporation (1982 - present) ,S22,,,,,,TRUE
,100000144587,PDV America Inc,Citgo Lemont Refinery,PDV Midwest Refining LLC,Lemont,Lemont,Illinois,41.6556,-88.0465,,,1969,S24,Union Oil Company of California (Union) (1969 - 1989) ,"UNO-VEN Company (UNO-VEN) (1989 - 2002), Citgo (2002 - present)","S24, S25",Venezuela govt.,,https://www.chicagotribune.com/1994/08/03/still-ringing-in-their-ears/,,,TRUE
,100000132509,Marathon Petroleum Corp,Marathon Illinois Division,Marathon Petroleum Co LP,Robinson,Robinson,Illinois,38.9973,-87.7159,,,1906,S26,Lincoln Oil Company (1906 - 1924) ,"Ohio Oil Company (1924 - 1962), Marathon Petroleum Corp (1962 - present)",S27,,soon to be part of ConocoPhillips (2024),,,,TRUE
,100000106501,CountryMark Coop Inc,Countrymark Refining,Countrymark Refining & Logistics LLC,Mount Vernon ,Mount Vernon,Indiana,37.906,-87.9289,,,1940,S31,Indiana Farm Bureau Cooperative Association (IFBCA) (1940 - 1991),Country Mark Coop Inc. (1991 - present),S32,,,,,,TRUE
,100000146175,CVR Energy,Coffeyville Resources,Coffeyville Resources Rfg & Mktg,Coffeyville,Coffeyville,Kansas,37.0495,-95.6058,,,1906,S35,National Refining Co. ,,,,"yes, Carl Icahn",,background: https://www.ft.com/content/a8f233e0-fd84-4c27-8df9-f416b6c2f340 ,,TRUE
,100000106164,HF Sinclair Corp,El Dorado Refining,HF Sinclair El Dorado Refining LLC,El Dorado,El Dorado,Kansas,37.7975,-96.8727,,,1917,S54,Midland Refining Company (1917 - 1919),"Skelly (1919 - 1977), Getty Oil (1977 - 1984), Texaco Inc. (1984 - 1998), Equilon Enterprises LLC (1998 - 1999), Frontier Oil Corp. (1999 - 2011), HollyFrontier Corp. (2011 - 2022), HF Sinclair Corp. (2022 - present)","S54, S56",,,,,,TRUE
